filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
JEMS_manuscript.pdf,,"Gereke, Johanna, Max Schaubb, and Delia Baldassarri. ""Immigration, Integration and Cooperation: Experimental Evidence from a Public Goods Game in Italy."" (2021).",primary,Experiment,oTree,authors,not applicable,,,
JF_3_Klinger_almanach1.pdf,,"Klinger, Melanie. ""Determinanten der Teilnahmebereitschaft an hochschuldidaktischen Qualifizierungsmaßnahmen – Forschungsbefunde und Modellüberlegungen."" Junge Hochschul- und Mediendidaktik 2013, 37-38.",no data,not applicable,not applicable,not applicable,not applicable,,,
jin-et-al-2024-the-good-is-up-metaphoric-effects-on-recognition-true-for-source-guessing-but-false-for-item-memory.pdf,10.1177/17470218241269272,"Jin, Zixi, Ulrich von Hecker, Nikoletta Symeonidou, Yi Liu, and Karl Christoph Klauer. ""The “good is up” metaphoric effects on recognition: True for source guessing but false for item memory."" Quarterly Journal of Experimental Psychology, vol. 78, no. 6, 2025, pp. 1205‒1220. doi: 10.1177/17470218241269272.",primary,Experiment,PsychoPy,authors,not applicable,,The data are available at: https://osf.io/w39uq/?view_only=89da5b4b57914a15b92d9a7907e1f99f,The data and code for data analysis of this and all other experiments in this report are available at: https://osf.io/w39uq/?view_only=89da5b4b57914a15b92d9a7907e1f99f
jintelligence-06-00028.pdf,10.3390/jintelligence6020028,"Rammstedt, Beatrice, Clemens M. Lechner, and Daniel Danner. ""Relationships between Personality and Cognitive Ability: A Facet-Level Analysis."" Intelligence Journal of 2018; 6(2): 28. doi:10.3390/jintelligence6020028",primary,Self-administered questionnaire,online access panel,Respondi AG,not applicable,,,
jintelligence-11-00066-v3.pdf,10.3390/jintelligence11040066,"Fehringer, Benedict C. O. F. 2023. ""Different Perspectives on Retest Effects in the Context of Spatial Thinking: Interplay of Behavioral Performance, Cognitive Processing, and Cognitive Workload."" Journal of Intelligence 11 (4): 66. https://doi.org/10.3390/jintelligence11040066",primary,Measurements and tests,"Tobii TX300 eye tracker, E-Prime 2.0",authors,not applicable,,Data Availability Statement: The data presented in this study are available in supplementary material.,
jlb-2023-02_01.pdf,10.35468/jlb-02-2023-01,"Derkau, Julia, and Karl-Heinz Gerholz. 2023. ""Service-Learning in Lehramtsstudiengängen. Welche Lernorte eignen sich?"" journal für lehrerInnenbildung 23 (2): 16-35. https://doi.org/10.35468/jlb-02-2023-01",secondary,Compilation/Synthesis,Literaturreview,not applicable,"ERIC, Web of Science, psycInfo",,,
jlb-2023-02_05.pdf,10.35468/jlb-02-2023-05,"Beißert, Hanna, Julia Derkau, Anne-Sophie Waag, and Manfred Hofer. 2023. ""Hinweise auf Langzeiteffekte von Service-Learning. Eine retrospektive Befragung."" journal für lehrerInnenbildung 23 (2): 72-82. https://doi.org/10.35468/jlb-02-2023-05",primary,Interview,teilstandardisiertes retrospektives Interview,the authors,not applicable,,,
jmaria%2C%2B06_kuschel.pdf,,"Kuschel, Daniela. ""¿Nacionales o Republicanos? —¡tú decides la historia! — el mito de ‘las dos Españas’ en los videojuegos Sombras de Guerra (2007/2008) y 1936, España en llamas (2012)."" Universidad de Mannheim.",secondary,Content coding,video games,not applicable,"Sombras de Guerra and 1936, España en llamas",,,
job.2484.pdf,10.1002/job.2484,"Wehrt, Wilken, Anne Casper, and Sabine Sonnentag. ""Beyond depletion: Daily self-control motivation as an explanation of self-control failure at work."" Journal of Organizational Behavior 41, no. 7 (2020): 931–947. doi:10.1002/job.2484",primary,Self-administered writings and/or diaries,daily surveys,the first two authors of this paper,not applicable,,,
job.2555.pdf,10.1002/job.2555,"Hadar Nesher Shoshan and Laura Venz. ""Daily deep acting toward coworkers: An examination of day-specific antecedents and consequences."" Journal of Organizational Behavior 2021; 1–13. doi: 10.1002/job.2555.",primary,Self-administered writings and/or diaries,surveys,four students,not applicable,,"DATA AVAILABILITY STATEMENT
Study participants did not provide consent that the data will be available publicly. Data are available for interested researchers upon request from the corresponding author.",
jomf.12784.pdf,10.1111/jomf.12784,"Mikucka, Małgorzata, Oliver Arranz Becker, and Christof Wolf. ""Revisiting marital health protection: Intraindividual health dynamics around transition to legal marriage."" Journal of Marriage and Family 2021: 1–21. doi: 10.1111/jomf.12784.",secondary,unclear,GSOEP,not applicable,GSOEP,,,
joop.12362.pdf,10.1111/joop.12362,"Sonnentag, Sabine, Amy Wei Tian, Jie Cao, and Svetlana V. Grushina. ""Positive work reﬂection during the evening and next-day work engagement: Testing mediating mechanisms and cyclical processes."" Journal of Occupational and Organizational Psychology (2021). doi:10.1111/joop.12362",primary,Self-administered questionnaire,"online questionnaire links, paper versions of the surveys",authors,not applicable,,Participants did not provide consent to make data publicly available.,
Journal%20Community%20Psychology%20-%202025%20-%20Paizan%20-%20Home%E2%80%90to%E2%80%90School%20Contact%20and%20Its%20Impact%20on%20Students%20School%20Belonging%20A.pdf,10.1002/jcop.70066,"Paizan, Mädălina A., Lara Aumann, and Peter F. Titzmann. ""Home-to-School Contact and Its Impact on Students' School Belonging: A Triadic, Mixed-Methods Approach."" Journal of Community Psychology 54, no. e70066 (2025). https://doi.org/10.1002/jcop.70066",primary,Self-administered questionnaire,paper–pencil questionnaires,a team of researchers with multicultural heritage,not applicable,,The data that support the findings of this study are available from the corresponding author upon reasonable request.,
Journal%20of%20Individual%20Differences%2FPassionate%20thinkers%20feel%20better%20%282012%29.pdf,http://dx.doi.org/10.1027/1614-0001/a000081,"Bertrams, Alex, and Oliver Dickhäuser. ""Passionate Thinkers Feel Better: Self-Control Capacity as Mediator of the Relationship Between Need for Cognition and Affective Adjustment."" Journal of Individual Differences 33 (2012): 69-75. http://dx.doi.org/10.1027/1614-0001/a000081",primary,Self-administered questionnaire,"NFC Scale, Brief Self-Control Scale, German Self-Regulation Scale, German State-Trait Depression Scales, Social Desirability Scale-17",Alex Bertrams and Oliver Dickhäuser,not applicable,,,
Journal%20of%20London%20Math%20Soc%20-%202025%20-%20Allan%20-%20Pathwise%20convergence%20of%20the%20Euler%20scheme%20for%20rough%20and%20stochastic%20differential.pdf,10.1112/jlms.70297,"Allan, Andrew L., Anna P. Kwossek, Chong Liu, and David J. Prömel. ""Pathwise convergence of the Euler scheme for rough and stochastic differential equations."" Journal of the London Mathematical Society 112 (2025): e70297. doi:10.1112/jlms.70297.",no data,not applicable,not applicable,not applicable,not applicable,,,
Journal%20of%20Personality%20-%202022%20-%20Entringer%20-%20Big%20Five%20personality%20and%20religiosity%20Bidirectional%20cross%E2%80%90lagged%20effects%20and.pdf,10.1111/jopy.12770,"Entringer, Theresa M., Jochen E. Gebauer, and Hannes Kroeger. ""Big Five personality and religiosity: Bidirectional cross-lagged effects and their moderation by culture."" Journal of Personality 91 (2023): 736–752. doi:10.1111/jopy.12770",secondary,Interview,questionnaires,not applicable,SOEP,,The SOEP data is freely available for scientific use upon request: https://www.diw.de/en/diw_01.c.601584.en/data_access.html. All study materials can be accessed here: https://www.diw.de/en/diw_02.c.222729.en/questionnaires.html. All of our data-analysis scripts are publicly available on the Open Science Framework: https://osf.io/gn8xa/?view_only=27038964954d4485a2d418dd3a469838.,https://osf.io/gn8xa/?view_only=27038964954d4485a2d418dd3a469838
Journal%20of%20Personality%20-%202023%20-%20John%20-%20Effect%20of%20social%20class%20on%20personal%20control%20beliefs-1.pdf,10.1111/jopy.12872,"John, Melvin, Lucia L.-A. Boileau, and Herbert Bless. ""Effect of social class on personal control beliefs."" Journal of Personality 92 (2024): 1086–1099. doi: 10.1111/jopy.12872.",mixed,Self-administered questionnaire,online survey,"Melvin John, Lucia L.-A. Boileau, and Herbert Bless","Socioeconomic Panel (SOEP), World Values Survey (WVS)",,All data collected by the authors themselves and all materials are available in an OSF repository and can be accessed here.,
Journal%20of%20Personality%20-%202023%20-%20Militaru%20-%20The%20lay%20of%20the%20land%20Associations%20between%20environmental%20features%20and%20personality-1.pdf,10.1111/jopy.12822,"Militaru, Ioana E., Gregory Serapio-García, Tobias Ebert, Wenyuan Kong, Samuel D. Gosling, Jeff Potter, Peter J. Rentfrow, and Friedrich M. Götz. ""The lay of the land: Associations between environmental features and personality."" Journal of Personality 92 (2024): 88–110. doi:10.1111/jopy.12822.",mixed,Aggregation,satellite images,not applicable,Gosling-Potter Internet Personality Project (GPIPP),,"To this end, we employed multiple preregisistered analytical strategies and accounted for a wide range of control variables to evaluate the robustness of our findings (https://osf.io/8j3en/).",https://osf.io/8j3en/
Journal%20of%20Personality%20-%202024%20-%20Eck%20-%20Which%20leadership%20style%20do%20more%20narcissistic%20subordinates%20prefer%20in%20supervisors-1.pdf,10.1111/jopy.12950,"Eck, Jennifer, Christiane Schoel, Constantine Sedikides, Jochen E. Gebauer, and Dagmar Stahlberg. ""Which leadership style do more narcissistic subordinates prefer in supervisors?"" Journal of Personality 93 (2025): 503–523. doi:10.1111/jopy.12950.",primary,Self-administered questionnaire,online survey,authors,not applicable,,"Deidentified data, data-­analysis scripts, and research materials for all studies are publicly available on the University of Mannheim's Research Data Repository (https://madata.bib.uni-­mannheim.de/427/).",https://madata.bib.uni-­mannheim.de/427/
Journal%20of%20Personality%20-%202025%20-%20K%C3%BCchler%20-%20Effects%20of%20Reflective%20Processes%20on%20Social%20Emotional%20Trait%20Development%20in.pdf,10.1111/jopy.13016,"Küchler, Gabriela, Kira S. A. Borgdorf, Corina Aguilar-Raab, and Cornelia Wrzus. ""Effects of Reflective Processes on Social–Emotional Trait Development in Adulthood: Insights From Two Multi-Method Studies."" Journal of Personality 94 (2026): 60–80. https://doi.org/10.1111/jopy.13016",primary,Experiment,SoSci Survey,authors,not applicable,,"Data, code, and materials of this study can be accessed from https://osf.io/rwkjf/.",https://osf.io/rwkjf/
Journal%20Time%20Series%20Analysis%20-%202024%20-%20Wang%20-%20Improved%20estimation%20of%20dynamic%20models%20of%20conditional%20means%20and%20variances.pdf,10.1111/jtsa.12770,"Wang, Weining, Jeffrey M. Wooldridge, and Mengshan Xu. ""Improved Estimation of Dynamic Models of Conditional Means and Variances."" Journal of Time Series Analysis 46 (2025): 458–490. doi:10.1111/jtsa.12770.",mixed,Simulation,not applicable,"W. Wang, J. M. Wooldridge and M. Xu",Yahoo Finance,,"DATA AVAILABILITY STATEMENT
The data supporting the findings of this article are openly available on Yahoo Finance at https://finance.yahoo
.com. Here, we illustrate the use of our methods by modeling the processes of the stock price series of Amazon
(AMZN). The observations are dated from January 2013 to December 2017. We have 1500 observations.",
Journal%20Time%20Series%20Analysis-2024%20-%20Ballarin%20-%20Ridge%20regularized%20estimation%20of%20VAR%20models%20for%20inference-1.pdf,10.1111/jtsa.12737,"Ballarin, Giovanni. ""Ridge Regularized Estimation of VAR Models for Inference."" Journal of Time Series Analysis 46 (2025): 235–257. doi: 10.1111/jtsa.12737.",mixed,Simulation,MATLAB implementation,G. Ballarin,https://users.ssc.wisc.edu/~bhansen/progs/var.html,,The data that support the findings of this study are openly available in GitHub at https://github.com/giob1994/ridge_var.,https://github.com/giob1994/ridge_var
journal.pclm.0000078-1.pdf,10.1371/journal.pclm.0000078,"Helbling, M., Rybski, D., Schewe, J., Siedentop, S., Glockmann, M., Heider, B., et al. (2023). Measuring the effect of climate change on migration flows: Limitations of existing data and analytical frameworks. PLOS Climate, 2(1), e0000078. https://doi.org/10.1371/journal.pclm.0000078",no data,not applicable,not applicable,not applicable,not applicable,,S1 Table. Overview of key variables and data sources. (DOCX),
journal.pone.0230304.pdf,10.1371/journal.pone.0230304,"Bauer, Paul C., and Andrei Poama. 2020. ""Does suffering suffice? An experimental assessment of desert retributivism."" PLoS ONE 15, no. 4, e0230304. https://doi.org/10.1371/journal.pone.0230304",primary,Experiment,prolific.ac,"Paul C. Bauer, Andrei Poama",not applicable,10.7910/DVN/X1NXJY,Data Availability Statement: All relevant data are in Harvard Dataverse: (https://doi.org/10.7910/DVN/X1NXJY).,
journal.pone.0234663.pdf,10.1371/journal.pone.0234663,"Bach, Ruben L., and Alexander Wenz. 2020. ""Studying health-related internet and mobile device use using web logs and smartphone records."" PLoS ONE 15 (6): e0234663. https://doi.org/10.1371/journal.pone.0234663.",secondary,Automated data extraction,web log and mobile device use data,not applicable,respondi AG,,"Data Availability Statement: Minimal Data Sets to reproduce all tables and figures in the paper are available through the Open Science Framework at https://osf.io/6v9a5/?view_only=0aa5bd7a616f45acb7419e2542e4d77b With these datasets, all tables and figures can be replicated.",
journal.pone.0254038.pdf,10.1371/journal.pone.0254038,"Grasshoff, Julia, Johannes Beller, Beatrice G. Kuhlmann, and Siegfried Geyer. ""Increasingly capable at the ripe old age? Cognitive abilities from 2004 to 2013 in Germany, Spain, and Sweden."" PLoS ONE 16, no. 7 (2021): e0254038. https://doi.org/10.1371/journal.pone.0254038",secondary,Measurements and tests,"Survey on Health, Ageing and Retirement in Europe (SHARE)",not applicable,"Survey on Health, Ageing and Retirement in Europe (SHARE)",,"Data Availability Statement: The analyses presented in this paper are based on data collected by SHARE, a longitudinal academic European survey project. The authors are not the owners of the data and not permitted to share the data with third parties, but they are available on request (http://www.share-project.org/data-access.html) for scientific purposes after having signed an agreement with the owner. The authors had no special access privileges, and we accessed the data in the same way as described in the manuscript.",
